label_index	winner_index	loser_index	evaluator_index
688	47	22	103
689	47	22	148
690	47	22	9
691	47	22	15
692	15	22	165
693	15	22	66
694	15	22	39
695	15	22	74
696	15	22	124
697	15	22	126
698	15	22	167
699	15	22	14
700	15	22	125
701	15	22	201
702	15	22	215
703	28	22	160
704	28	22	204
705	28	22	131
706	28	22	138
707	28	22	45
708	28	22	44
709	28	22	44
710	28	22	39
711	28	22	38
712	28	22	20
713	28	22	203
714	28	22	103
715	79	22	177
716	79	22	177
717	79	22	42
718	79	22	163
719	79	22	74
720	79	22	37
721	79	22	108
722	79	22	69
723	79	22	69
724	79	22	203
725	79	22	83
726	79	22	120
727	6	22	177
728	6	22	150
729	6	22	50
730	6	22	147
731	6	22	44
732	6	22	74
733	6	22	216
734	6	22	84
735	6	22	7
736	6	22	15
737	6	22	15
738	61	22	60
739	61	22	73
740	61	22	147
741	61	22	74
742	61	22	58
743	61	22	216
744	61	22	103
745	61	22	15
746	61	22	213
747	5	22	44
748	41	22	211
749	41	22	138
750	41	22	210
751	41	22	147
752	41	22	44
753	41	22	111
754	41	22	38
755	41	22	16
756	41	22	109
757	41	22	201
758	41	22	205
759	41	22	172
760	68	22	160
761	68	22	138
762	68	22	44
763	68	22	103
764	4	22	42
765	4	22	211
766	4	22	102
767	4	22	138
768	4	22	51
769	4	22	152
770	4	22	210
771	4	22	44
772	4	22	209
773	4	22	38
774	4	22	84
775	4	22	136
776	4	22	203
777	72	22	165
778	72	22	160
779	72	22	121
780	72	22	211
781	72	22	200
782	72	22	188
783	72	22	108
784	72	22	216
785	72	22	125
786	72	22	92
787	11	22	2
788	11	22	2
789	11	22	104
790	11	22	104
791	11	22	147
792	11	22	34
793	11	22	139
794	11	22	84
795	11	22	84
796	11	22	89
797	11	22	77
798	37	22	121
799	37	22	50
800	37	22	44
801	37	22	39
802	37	22	105
803	37	22	191
804	37	22	103
805	37	22	12
806	46	22	133
807	46	22	44
808	46	22	216
809	46	22	172
810	40	22	204
811	40	22	200
812	40	22	131
813	40	22	138
814	40	22	145
815	40	22	39
816	40	22	74
817	40	22	124
818	52	22	177
819	52	22	211
820	52	22	200
821	52	22	104
822	52	22	188
823	52	22	109
824	60	22	160
825	60	22	211
826	60	22	211
827	60	22	138
828	60	22	188
829	60	22	84
830	60	22	103
831	60	22	120
832	1	22	121
833	1	22	204
834	1	22	210
835	1	22	39
836	1	22	39
837	1	22	168
838	1	22	89
839	1	22	89
840	1	22	89
841	1	22	146
842	1	22	22
843	1	22	15
844	69	22	160
845	69	22	121
846	69	22	211
847	69	22	200
848	69	22	131
849	69	22	55
850	69	22	117
851	69	22	39
852	69	22	124
853	69	22	108
854	69	22	201
855	69	22	201
856	73	22	200
857	73	22	44
858	73	22	39
859	73	22	72
860	73	22	38
861	73	22	208
862	73	22	146
863	73	22	80
864	73	22	201
865	80	22	102
866	80	22	210
867	80	22	23
868	80	22	72
869	80	22	65
870	80	22	108
871	80	22	113
872	80	22	136
873	80	22	203
874	80	22	62
875	80	22	207
876	24	22	165
877	24	22	160
878	24	22	160
879	24	22	177
880	24	22	204
881	24	22	55
882	24	22	50
883	24	22	104
884	24	22	188
885	24	22	189
886	24	22	126
887	24	22	216
888	24	22	216
889	24	22	113
890	24	22	38
891	24	22	35
892	65	22	9
893	54	22	160
894	54	22	204
895	54	22	131
896	54	22	51
897	54	22	45
898	54	22	145
899	54	22	152
900	54	22	152
901	54	22	140
902	54	22	38
903	54	22	38
904	54	22	109
905	54	22	119
906	54	22	115
907	45	22	60
908	45	22	44
909	45	22	108
910	45	22	181
911	45	22	84
912	45	22	155
913	45	22	146
914	45	22	146
915	45	22	103
916	45	22	166
917	45	22	201
918	45	22	15
919	45	22	154
920	44	22	121
921	44	22	204
922	44	22	180
923	44	22	60
924	44	22	117
925	31	22	204
926	31	22	204
927	31	22	131
928	31	22	138
929	31	22	73
930	31	22	74
931	31	22	189
932	31	22	47
933	31	22	113
934	31	22	84
935	31	22	84
936	31	22	7
937	31	22	15
938	78	22	160
939	78	22	160
940	78	22	145
941	78	22	103
942	51	22	160
943	51	22	66
944	51	22	73
945	51	22	188
946	51	22	58
947	51	22	209
948	51	22	89
949	51	22	166
950	14	22	177
951	14	22	204
952	14	22	200
953	14	22	138
954	14	22	104
955	14	22	90
956	14	22	46
957	14	22	33
958	14	22	168
959	14	22	32
960	14	22	53
961	20	22	87
962	20	22	131
963	20	22	51
964	20	22	145
965	20	22	74
966	20	22	189
967	20	22	11
968	20	22	157
969	20	22	15
970	20	22	15
971	20	22	15
972	26	22	131
973	26	22	26
974	10	22	31
975	10	22	211
976	10	22	102
977	10	22	138
978	10	22	23
979	10	22	38
980	10	22	84
981	10	22	1
982	10	22	22
983	63	22	160
984	63	22	200
985	63	22	152
986	63	22	50
987	63	22	73
988	63	22	23
989	63	22	74
990	63	22	74
991	63	22	126
992	63	22	140
993	63	22	143
994	63	22	146
995	63	22	170
996	63	22	15
997	64	22	204
998	2	22	160
999	2	22	42
1000	2	22	211
1001	2	22	211
1002	2	22	44
1003	2	22	74
1004	2	22	189
1005	2	22	216
1006	2	22	113
1007	2	22	84
1008	2	22	1
1009	2	22	41
1010	19	22	31
1011	19	22	121
1012	19	22	211
1013	19	22	138
1014	19	22	210
1015	19	22	60
1016	19	22	147
1017	19	22	39
1018	19	22	26
1019	19	22	38
1020	19	22	38
1021	19	22	69
1022	19	22	16
1023	19	22	40
1024	16	22	211
1025	16	22	211
1026	16	22	145
1027	16	22	189
1028	16	22	122
1029	16	22	84
1030	16	22	155
1031	16	22	103
1032	16	22	120
1033	71	22	160
1034	71	22	51
1035	71	22	50
1036	71	22	147
1037	71	22	147
