label_index	winner_index	loser_index	evaluator_index
432	14	54	85
433	14	54	39
434	14	54	77
435	14	54	109
436	1	54	135
437	1	54	147
438	1	54	76
439	1	54	76
440	1	54	89
441	1	54	125
442	1	54	13
443	1	54	31
444	1	54	121
445	1	54	107
446	1	54	74
447	1	54	108
448	1	54	64
449	1	54	109
450	4	54	23
451	4	54	120
452	4	54	58
453	4	54	76
454	4	54	165
455	4	54	14
456	4	54	91
457	4	54	121
458	4	54	105
459	4	54	170
460	4	54	145
461	4	54	75
462	4	54	65
463	4	54	108
464	4	54	40
465	4	54	124
466	4	54	124
467	4	54	77
468	4	54	47
469	22	54	131
470	22	54	78
471	22	54	45
472	22	54	170
473	22	54	75
474	22	54	112
475	13	54	131
476	13	54	51
477	13	54	113
478	13	54	165
479	13	54	107
480	13	54	34
481	13	54	84
482	13	54	40
483	13	54	163
484	51	54	23
485	51	54	51
486	51	54	135
487	51	54	95
488	51	54	113
489	51	54	139
490	51	54	107
491	51	54	170
492	51	54	84
493	51	54	129
494	51	54	108
495	51	54	111
496	51	54	163
497	9	54	95
498	9	54	95
499	9	54	13
500	9	54	139
501	9	54	53
502	9	54	112
503	9	54	101
504	9	54	85
505	9	54	25
506	68	54	131
507	68	54	51
508	68	54	51
509	68	54	135
510	68	54	156
511	68	54	76
512	68	54	88
513	68	54	165
514	68	54	31
515	68	54	130
516	68	54	53
517	68	54	75
518	68	54	74
519	68	54	94
520	68	54	56
521	68	54	158
522	68	54	93
523	68	54	15
524	17	54	131
525	17	54	58
526	17	54	125
527	17	54	100
528	17	54	27
529	17	54	163
530	50	54	95
531	50	54	147
532	50	54	66
533	50	54	125
534	50	54	31
535	50	54	130
536	50	54	121
537	50	54	34
538	50	54	0
539	15	54	23
540	15	54	135
541	15	54	122
542	15	54	147
543	15	54	149
544	15	54	105
545	15	54	74
546	15	54	85
547	15	54	124
548	15	54	163
549	15	54	163
550	40	54	23
551	40	54	135
552	40	54	156
553	40	54	45
554	40	54	121
555	40	54	170
556	40	54	54
557	40	54	75
558	40	54	112
559	47	54	58
560	47	54	95
561	47	54	95
562	47	54	149
563	47	54	88
564	47	54	88
565	47	54	170
566	47	54	170
567	47	54	75
568	47	54	94
569	47	54	109
570	47	54	109
571	31	54	13
572	31	54	64
573	70	54	125
574	70	54	80
575	70	54	99
576	70	54	43
577	70	54	117
578	70	54	74
579	70	54	101
580	70	54	27
581	70	54	138
582	8	54	131
583	8	54	51
584	8	54	125
585	8	54	13
586	8	54	75
587	8	54	93
588	44	54	23
589	44	54	95
590	44	54	147
591	44	54	149
592	44	54	161
593	44	54	55
594	44	54	43
595	44	54	155
596	44	54	110
597	44	54	107
598	44	54	170
599	44	54	75
600	44	54	94
601	23	54	51
602	23	54	135
603	23	54	147
604	23	54	161
605	23	54	31
606	23	54	31
607	23	54	139
608	23	54	99
609	23	54	49
610	23	54	60
611	23	54	112
612	23	54	85
613	23	54	119
614	23	54	163
615	23	54	163
616	23	54	25
617	24	54	23
618	24	54	76
619	24	54	76
620	24	54	80
621	24	54	45
622	24	54	170
623	24	54	170
624	24	54	170
625	24	54	75
626	24	54	158
627	24	54	108
628	24	54	64
629	24	54	109
630	24	54	81
631	24	54	35
632	57	54	122
633	57	54	149
634	57	54	165
635	57	54	55
636	57	54	130
637	57	54	121
638	57	54	105
639	57	54	107
640	57	54	112
641	57	54	48
642	57	54	20
643	57	54	124
644	30	54	58
645	30	54	147
646	30	54	13
647	30	54	102
648	30	54	61
649	30	54	60
650	30	54	75
651	7	54	131
652	7	54	113
653	7	54	75
654	7	54	101
655	58	54	12
656	58	54	122
657	58	54	149
658	58	54	161
659	58	54	165
660	58	54	139
661	58	54	107
662	58	54	170
663	58	54	84
664	58	54	79
665	58	54	85
666	58	54	5
667	33	54	23
668	33	54	135
669	33	54	125
670	33	54	88
671	33	54	45
672	33	54	121
673	33	54	87
674	33	54	170
675	33	54	112
676	33	54	101
677	33	54	108
678	33	54	40
679	33	54	40
680	33	54	64
681	33	54	90
682	33	54	77
683	65	54	76
684	65	54	89
685	65	54	125
686	65	54	161
687	65	54	139
688	65	54	91
689	65	54	91
690	65	54	34
691	65	54	75
692	65	54	74
693	65	54	74
694	65	54	65
695	65	54	64
696	65	54	154
697	65	54	77
698	0	54	23
699	0	54	149
700	0	54	76
701	0	54	31
702	0	54	55
703	0	54	99
704	0	54	110
705	0	54	110
706	0	54	151
707	0	54	34
708	0	54	84
709	0	54	74
710	0	54	116
711	0	54	40
712	0	54	40
713	0	54	64
714	3	54	156
715	3	54	156
716	3	54	149
717	3	54	34
718	3	54	85
719	3	54	129
720	3	54	48
721	3	54	90
722	3	54	104
723	62	54	51
724	62	54	135
725	62	54	95
726	62	54	88
727	62	54	161
728	62	54	31
729	62	54	94
730	62	54	10
731	62	54	108
732	62	54	64
733	62	54	64
734	62	54	25
735	76	54	113
736	76	54	101
737	76	54	167
738	69	54	12
739	69	54	78
740	69	54	13
741	69	54	99
742	69	54	43
743	69	54	105
744	69	54	74
745	69	54	93
746	78	54	51
747	78	54	122
748	78	54	78
749	78	54	13
750	78	54	161
751	78	54	139
752	78	54	45
753	78	54	130
754	78	54	121
755	78	54	117
756	78	54	84
757	78	54	108
758	78	54	163
759	78	54	77
760	78	54	109
761	10	54	156
762	10	54	139
763	10	54	112
764	10	54	94
765	10	54	103
766	10	54	65
767	10	54	40
768	10	54	37
769	10	54	118
770	72	54	43
771	72	54	107
772	19	54	51
773	19	54	55
774	19	54	55
775	19	54	99
776	19	54	43
777	19	54	151
778	19	54	107
779	19	54	84
780	19	54	60
781	19	54	60
782	19	54	101
783	19	54	85
784	19	54	25
785	63	54	23
786	63	54	51
787	63	54	12
788	63	54	89
789	63	54	165
790	63	54	151
791	63	54	169
792	63	54	34
793	63	54	158
794	63	54	64
795	63	54	124
796	63	54	138
797	63	54	25
798	63	54	109
799	55	54	131
800	55	54	95
801	55	54	95
802	55	54	147
803	55	54	115
804	42	54	135
805	42	54	58
806	42	54	95
807	42	54	125
808	42	54	92
809	42	54	60
810	42	54	40
811	41	54	51
812	41	54	13
813	41	54	91
814	41	54	130
